elapsedTime(ms),LeftSensor,RightSensor
0,105,129
85,105,128
154,105,157
224,109,157
294,930,939
381,936,938
471,938,939
564,938,939
638,938,939
706,935,940
783,936,940
854,936,939
943,934,939
1008,933,940
1111,935,939
1200,935,939
1290,934,939
1394,935,941
1511,934,939
1600,933,937
1718,932,937
1805,304,937
1910,106,130
2011,103,127
2119,102,114
2217,105,120
2325,106,115
2422,929,924
2520,400,773
2615,519,807
2711,519,563
2788,630,460
2872,547,460
2935,679,511
3000,679,910
3076,628,910
3147,639,838
3206,639,847
3281,659,847
3358,764,852
3436,176,171
3509,176,116
3605,99,116
3670,109,126
3737,109,124
3804,108,124
3867,108,126
3942,108,123
4018,105,123
4087,103,113
4162,106,116
4250,106,78
4316,73,78
4392,10,9
4463,12,8
4529,12,8
4587,17,8
4653,17,24
4729,25,7
4808,19,7
4880,27,39
4936,27,39
4995,22,37
5047,22,37
5099,51,52
5163,51,179
5219,295,265
5320,656,265
5388,942,570
5448,942,570
5502,937,821
5556,937,802
5647,933,802
5708,919,808
5762,919,119
5830,114,119
5893,114,119
5959,105,119
6011,107,126
6073,107,126
6121,106,122
6171,106,122
6224,104,127
6277,104,127
6327,110,128
6377,110,128
6426,107,126
6476,107,126
6539,104,227
6595,104,227
6645,947,938
6707,947,384
6779,924,120
6857,105,120
6922,107,121
6988,107,124
7068,104,124
7131,111,428
7198,111,428
7267,630,943
7322,630,948
7370,940,948
7419,940,930
7472,947,930
7519,947,123
7569,673,123
7621,673,123
7670,105,123
7722,105,123
7771,103,124
7823,103,124
7872,104,121
7927,104,121
7977,110,123
8029,110,749
8087,934,749
8135,934,353
8182,941,353
8232,941,353
8280,946,250
8336,946,250
8385,932,177
8441,932,125
8490,902,125
8544,902,121
8592,110,121
8642,110,121
8693,106,126
8750,106,127
8801,103,127
8847,103,127
8897,110,117
8949,110,117
8995,100,124
9051,100,124
9100,105,126
9154,105,126
9201,111,128
9257,111,128
9307,110,124
9359,110,124
9408,104,122
9469,104,129
9539,105,129
9592,99,115
9650,99,11
9724,14,11
9780,14,9
9850,13,9
9911,6,2
9961,6,2
10009,18,7
10078,18,68
10137,91,68
10189,91,97
10238,87,97
10288,87,60
10337,51,60
10386,51,60
10433,115,154
10485,115,154
10533,518,635
10588,518,943
10665,940,943
10722,942,943
10772,942,943
10819,942,943
10870,942,943
10918,942,945
10972,942,945
11021,942,943
11075,941,943
11122,941,944
11177,940,944
11227,940,942
11280,938,942
11329,938,941
11386,934,941
11434,934,941
11513,940,941
11560,940,943
11612,940,943
11663,940,943
11727,940,943
11791,940,943
11867,939,942
11929,939,945
11996,943,945
12047,932,935
12103,932,935
12152,927,935
12201,927,935
12249,927,935
12304,927,935
12350,927,936
12406,929,936
12454,929,935
12508,927,935
12558,927,937
12611,925,937
12658,925,937
12713,927,937
12762,927,937
12815,926,937
12862,926,933
12918,926,933
12967,926,937
13020,927,937
13067,927,940
13122,933,940
13169,933,935
13225,931,935
13272,931,921
13327,846,921
13374,846,918
13430,833,918
13478,833,778
13532,681,778
13581,681,464
13634,366,464
13681,366,108
13737,86,108
13785,86,118
13839,102,118
13890,102,118
13942,104,118
13989,104,121
14044,105,121
14103,159,850
14150,159,850
14195,159,938
14249,930,938
14297,930,936
14351,927,936
14400,927,912
14454,610,912
14501,610,557
14556,427,557
14606,427,91
14658,462,91
14706,462,119
14761,94,119
14812,94,119
14863,93,119
14911,93,120
14966,101,120
